Job Title,Company,Study Level,Experience Level,Location,Contract Type,Job Details,URL
"Coordinator - Sales Support - Casablanca","Air Arabia (PJSC), listed on the Dubai Financial Market, is the Middle East and North Africa’s first and leading low-cost carrier flying to over 150 destinations across the world. Air Arabia was the first airline to introduce the low-cost carrier concept in the region and is on a mission to serve all Arab countries and beyond, constantly undergoing aggressive route expansion, taking advantage of its ideally located hubs in the United Arab Emirates, Morocco and Egypt. Over the past years, Air Arabia, through continuous market research and customer feedback, has provided a range of value added services to millions of passengers who chose to fly with the airline's fleet of A320 aircraft. The airline commenced operations in October 2003 and achieved financial break-even from its very first year of services and has been profitable ever since. The airline commenced operations in October 2003 and achieved financial break-even from its very first year of services and has been profitable ever since. -","Bac +3 Minimum - Ecole de commerce","De 1 à 3 ans","Morocco Morocco","CDI","","https://www.rekrute.com/offre-emploi-coordinator---sales-support-recrutement-air-arabia-casablanca-166923.html"
"Coordinateur Assurance qualité Fournisseurs - Nouaceur","Safran Nacelles est l'un des deux principaux intégrateurs mondiaux de nacelles de moteurs d'avion. Avec plus de 19 000 équipements en service, Safran Nacelles propose une gamme de nacelles","Bac +5 et plus Minimum","De 3 à 5 ans","BP 80 Technopole Aeroport Mohamed V Nouaceur Casablanca","CDI","","https://www.rekrute.com/offre-emploi-coordinateur-assurance-qualite-fournisseurs-recrutement-safran-nacelles-nouaceur-166017.html"
"Auditeur Junior (H/F) - Casablanca","Pourquoi nous rejoindre ?","Bac +5 et plus Minimum - Master","Moins de 1 an","Nearshore Park - 110 Bd Al Qods - Bat Shore 26, 6ème étage - Casablanca Sidi Maarouf (Maroc) Casablanca","CDI","","https://www.rekrute.com/offre-emploi-auditeur-junior-hf-recrutement-pwc-casablanca-166921.html"
"Manager d'équipe helpdesk (parfaitement bilingue) - Casablanca","Sogetrel est un partenaire clé de la transformation numérique des entreprises et des territoires depuis plus de 35 ans.","Bac +3 Minimum - BTS / DUT - Université","De 3 à 5 ans","Bd Ghandi 20000 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-manager-dequipe-helpdesk-parfaitement-bilingue-recrutement-genius-services-casablanca-166920.html"
"Chargé(e) de Comptabilité Clients et Trésorerie - Casablanca","Akkodis est un leader mondial sur le marché de l'ingénierie et de la R&D qui s'appuie sur la puissance des données connectées pour accélérer l'innovation et la transformation numérique.","Bac +5 et plus Minimum","De 3 à 5 ans","33 boulevard Hassan Seghir 6ème étage 20100 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-chargee-de-comptabilite-clients-et-tresorerie-recrutement-akkodis-maroc-casablanca-166302.html"
"Chargé Crédit Management - Mission de 2 mois - Casablanca","Présent depuis 1997 au Maroc, Manpower Group est un acteur international incontournable de l’emploi et de l’insertion sociale dans le monde. Au sein du Royaume Chérifien, nous couvrons l’ensemble du territoire, de Tanger à Laayoune.","Bac +5 et plus Minimum - Ecole de commerce - Formation spécialisée","De 1 à 3 ans","Tour Végétale JASMIN | 1, rue des Plateformes - Lot N°123 20036 Casablanca","Intérim","","https://www.rekrute.com/offre-emploi-charge-credit-management---mission-de-2-mois-recrutement-manpower-agences-casablanca-166919.html"
"Expert Data Scientist / Researcher in Generative AI, Large Language Models (LLM), Machine Learning (ML), and Artificial Intelligence (AI) - Rabat, Rabat-Salé-Kénitra, Maroc","DXC Technology est le fruit d’un partenariat stratégique entre Enterprise Services de Hewlett Packard Enterprise et l’investisseur n°1 au Maroc : la Caisse de Dépôt et de Gestion. DXC Technology Monde a été créée le 3 Avril 2017, suite à la fusion entre deux grands géants du secteur IT ; HPE (Hewlett Packard Enterprise) et CSC (Computer Sciences Corporation). Cette fusion ayant donné naissance à l’un des plus gros acteurs de services aux entreprises au monde : DXC Technology, ce nouveau Groupe dispose d’un portefeuille de plus de 5 900 clients répartis dans plus de 70 pays, dont le Maroc. DXC Technology a été créée sur des fondations solides de confiance et de transformation et sur l’ambition renouvelée d’aider les clients à prospérer par le changement Digital. Ainsi, nous sommes reconnu comme un multiplicateur de forces avec l’objectif principal d’apporter plus de valeur aux clients, aux partenaires et aux actionnaires de la société, et d’offrir davantage d’opportunités aux collaborateurs du groupe","Bac +2 Minimum - Formation spécialisée","Débutant","Technopolis-Rabatshore , batiment B9 11100 Sala Al Jadida - Rabat","CDI","","https://www.rekrute.com/offre-emploi-expert-data-scientist-researcher-in-generative-ai-large-language-models-llm-machine-learning-ml-and-artificial-intelligence-ai-recrutement-dxc-technology-maroc-rabat-rabat-sale-kenitra-maroc-166918.html"
"Manager H/F - Fès","McDonald’s Maroc est une entreprise 100% marocaine. Notre mission est d’offrir une expérience agréable, facile et conviviale pour tous les Marocains et ce depuis plus de 30 ans.","Bac +2 Minimum - Ecole de commerce","De 1 à 3 ans","Boulevard Sidi Mohamed Ben Abdellah, Marina, Tour Crystal 3, 5ème étage 20050 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-manager-hf-recrutement-mcdonalds-maroc-fes-166917.html"
"Chargé des Achats (H/F) - Casablanca","Cadilhac est un des leaders de la distribution de produits chimiques au Maroc. Entreprise familiale depuis sa création en 1907, elle s’est imposée comme un acteur de référence du secteur, de génération en génération.","Bac +4 Minimum - Master","De 1 à 3 ans","82, Bd Mexico Q.I Sidi Bernoussi CASABLANCA","CDI","","https://www.rekrute.com/offre-emploi-charge-des-achats-hf-recrutement-cadilhac-et-fils-casablanca-166916.html"
"Operations Manager (H/F)_Mining Operations Lab - Casablanca","INNOVX est un groupe multi-sectoriel qui conçoit, développe et déploie à échelle industrielle des entreprises et des écosystèmes technologiques innovants, performants et à fort impact environnemental et sociétal.","Bac +5 et plus Minimum - Ecole d'ingénieur","De 5 à 10 ans","Casablanca Casablanca","CDI","","https://www.rekrute.com/offre-emploi-operations-manager-hf_mining-operations-lab-recrutement-innovx-casablanca-166915.html"
"Conseillers commerciaux Confirmés H/F - Rabat","Euro-Information, la Filiale Technologique du Crédit Mutuel depuis quatre décennies, orchestre le Système d’Information (SI) pour 16 Groupes de Crédit Mutuel, Banques CIC, et diverses filiales couvrant finance, technologie, assurances, immobilier, crédits, banque privée et financement.","Bac +3 Minimum - Université","De 1 à 3 ans","Technopolis Rabat Shore, Batiment B3 Salé","CDI","","https://www.rekrute.com/offre-emploi-conseillers-commerciaux-confirmes-hf-recrutement-euro-information-direct-service-rabat-165423.html"
"Superviseur RH - Mohammédia","Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.","Bac +3 Minimum - Université","Moins de 1 an","Route nationale 1km 3.5 douar Oulad Othman- SKHIRAT","CDI","","https://www.rekrute.com/offre-emploi-superviseur-rh-recrutement-groupe-labelvie---carrefour-mohammedia-166914.html"
"Acheteur sénior (H/F) - Casablanca","Présent depuis 1997 au Maroc, Manpower Group est un acteur international incontournable de l’emploi et de l’insertion sociale dans le monde. Au sein du Royaume Chérifien, nous couvrons l’ensemble du territoire, de Tanger à Laayoune.","Bac +5 et plus Minimum - Master","De 3 à 5 ans","Tour Végétale JASMIN | 1, rue des Plateformes - Lot N°123 20036 Casablanca","CDD","","https://www.rekrute.com/offre-emploi-acheteur-senior-hf-recrutement-manpower-agences-casablanca-166913.html"
"IT ONSITE Engineer - Rabat","Sitel Group devient officiellement Foundever™.","Bac +3 Minimum","De 1 à 3 ans","1100 Bd El Qods, Sidi Maârouf), Casanearshore Park 20100 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-it-onsite-engineer-recrutement-foundever-ex-sitel-group-rabat-166529.html"
"Administrateur Système - Casablanca","Vous êtes en quête de nouveaux challenges et vous souhaitez donner un nouvel élan à votre carrière ? Vous cherchez à rejoindre une entreprise à taille humaine qui place l’agilité, l’audace et l'esprit d'équipe au cœur de ses préoccupations et dans laquelle vous pouvez vous épanouir ? Ne perdez plus de temps, postulez et rejoignez Sofrecom !","Bac +5 et plus Minimum","De 3 à 5 ans","Batiment B0, 2 éme Etage, Technopolis, 11100, Sale Al Jadida, Rabat-Salé-Zemmour-Zaër, Maroc 11 100 Rabat","CDI","","https://www.rekrute.com/offre-emploi-administrateur-systeme-recrutement-sofrecom-maroc-casablanca-166912.html"
"Chargé de Conduite d'Activité H/F - Casablanca","Sogetrel est un partenaire clé de la transformation numérique des entreprises et des territoires depuis plus de 35 ans.","Bac +2 Minimum - BTS / DUT","Moins de 1 an","Bd Ghandi 20000 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-charge-de-conduite-dactivite-hf-recrutement-genius-services-casablanca-166911.html"
"Contrôleur Interne - Casablanca","Le Groupe AKDITAL est le leader de la santé privée au Maroc. Avec plus de 15% de la capacité litière globale du royaume, le groupe détient aujourd’hui 18 établissements multidisciplinaires répartis sur plusieurs villes du royaume.","Bac +5 et plus Minimum","De 3 à 5 ans","Casablanca","CDI","","https://www.rekrute.com/offre-emploi-controleur-interne-recrutement-akdital-casablanca-166910.html"
"Chef de Projet Infrastructure - Casablanca","Vous êtes en quête de nouveaux challenges et vous souhaitez donner un nouvel élan à votre carrière ? Vous cherchez à rejoindre une entreprise à taille humaine qui place l’agilité, l’audace et l'esprit d'équipe au cœur de ses préoccupations et dans laquelle vous pouvez vous épanouir ? Ne perdez plus de temps, postulez et rejoignez Sofrecom !","Bac +5 et plus Minimum","De 5 à 10 ans","Batiment B0, 2 éme Etage, Technopolis, 11100, Sale Al Jadida, Rabat-Salé-Zemmour-Zaër, Maroc 11 100 Rabat","CDI","","https://www.rekrute.com/offre-emploi-chef-de-projet-infrastructure-recrutement-sofrecom-maroc-casablanca-166908.html"
"Ingénieur DevOps - Casablanca","Vous êtes en quête de nouveaux challenges et vous souhaitez donner un nouvel élan à votre carrière ? Vous cherchez à rejoindre une entreprise à taille humaine qui place l’agilité, l’audace et l'esprit d'équipe au cœur de ses préoccupations et dans laquelle vous pouvez vous épanouir ? Ne perdez plus de temps, postulez et rejoignez Sofrecom !","Bac +5 et plus Minimum","De 3 à 5 ans","Batiment B0, 2 éme Etage, Technopolis, 11100, Sale Al Jadida, Rabat-Salé-Zemmour-Zaër, Maroc 11 100 Rabat","CDI","","https://www.rekrute.com/offre-emploi-ingenieur-devops-recrutement-sofrecom-maroc-casablanca-166907.html"
"Ingénieur DevOps - Casablanca","Vous êtes en quête de nouveaux challenges et vous souhaitez donner un nouvel élan à votre carrière ? Vous cherchez à rejoindre une entreprise à taille humaine qui place l’agilité, l’audace et l'esprit d'équipe au cœur de ses préoccupations et dans laquelle vous pouvez vous épanouir ? Ne perdez plus de temps, postulez et rejoignez Sofrecom !","Bac +5 et plus Minimum","De 1 à 3 ans","Batiment B0, 2 éme Etage, Technopolis, 11100, Sale Al Jadida, Rabat-Salé-Zemmour-Zaër, Maroc 11 100 Rabat","CDI","","https://www.rekrute.com/offre-emploi-ingenieur-devops-recrutement-sofrecom-maroc-casablanca-166906.html"
"Stage en Commerce et Relation clients - IKEA - Casablanca","IKEA is a global retailer known for affordable, modernist furniture designs and unique shopping experience. Founded in 1943 by Ingvar Kamprad in Sweden, IKEA started as a mail-order business and has grown to operate 473 stores in 63 countries as of May 2024. In Morocco, IKEA Concept is brought by Al-Homaizi Ltd that operates in three IKEA Markets – Kuwait, Jordan, and Morocco.","Bac +3 Minimum - BTS / DUT","Débutant","Sortie Autoroute Aïn Arrouda Zenata","Stage","","https://www.rekrute.com/offre-emploi-stage-en-commerce-et-relation-clients---ikea-recrutement-ikea-maroc-casablanca-166905.html"
"Sales Development Representative - btob - french market - Casablanca","Leyton est un cabinet de conseil international dédié à l’amélioration des performances économiques, sociales et environnementales des organisations. Ses consultants et experts techniques apportent des solutions concrètes qui contribuent au progrès durable de ses clients. Le Groupe compte plus de 3000 collaborateurs répartis dans 16 pays.","Bac +2 Minimum - Ecole de commerce - Formation professionnelle","De 1 à 3 ans","Parc Casanearshore Sidi Maârouf Shore 14 20 100 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-sales-development-representative---btob---french-market-recrutement-leyton-casablanca-166537.html"
"Responsable d'Unité de Management (H/F) Chef de projet - Rabat / Salé Technopolis","AXA Services Maroc est le centre d'expertise en relation client au Maroc des sociétés : AXA France, AXA Direct France et AXA Assistance","Bac +4 Minimum - Ecole de commerce","De 5 à 10 ans","14 Avenue Annakhil, Rabat - Rabat","CDI","","https://www.rekrute.com/offre-emploi-responsable-dunite-de-management-hf-chef-de-projet-recrutement-axa-services-maroc-rabat-sale-technopolis-166904.html"
"Technicien Support FAI - Fès","","Bac +2 Minimum","Moins de 1 an","Rabat 10000 Rabat","Autre","","https://www.rekrute.com/offre-emploi-technicien-support-fai-recrutement-alten-maroc-fes-166903.html"
"Technicien Support FAI - Fès","","Bac +2 Minimum","Moins de 1 an","Rabat 10000 Rabat","Autre","","https://www.rekrute.com/offre-emploi-technicien-support-fai-recrutement-alten-maroc-fes-166902.html"
"GA Activations Specialist- Marketing- English Speaking - Casablanca","Important Multinational Company","Bac +5 et plus Minimum - Master","De 1 à 3 ans","not found","CDI","","https://www.rekrute.com/offre-emploi-ga-activations-specialist--marketing--english-speaking-recrutement-confidentiel-casablanca-166901.html"
"Infirmier Auxiliaire (H/F) - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +2 Minimum","De 5 à 10 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150 Benguerir","CDI","","https://www.rekrute.com/offre-emploi-infirmier-auxiliaire-hf-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-166739.html"
"Candidature Spontanée : Cadres Paramédicaux Supérieurs - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +5 et plus Minimum","De 3 à 5 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150 Benguerir","CDI","","https://www.rekrute.com/offre-emploi-candidature-spontanee-cadres-paramedicaux-superieurs-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-165941.html"
"Recrutement Multidisciplinaire : Ingénieur, Préparateur en Pharmacie, Secrétaire Médicale, Hôtesse d’Accueil, Aide-Soignant(e), Ambulancier - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +2 Minimum","De 3 à 5 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150 Benguerir","CDI","","https://www.rekrute.com/offre-emploi-recrutement-multidisciplinaire-ingenieur-preparateur-en-pharmacie-secretaire-medicale-hotesse-daccueil-aide-soignante-ambulancier-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-154702.html"
"Infirmier Référent (H/F) - Expérience de 10 ans minimum - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +2 Minimum","De 10 à 20 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150 Benguerir","CDI","","https://www.rekrute.com/offre-emploi-infirmier-referent-hf---experience-de-10-ans-minimum-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-166738.html"
"Ingénieur Réseaux et Télécoms Junior - Casablanca - Casablanca","Acteur incontournable du courtage en Assurances, ECA Assurances construit depuis plus de 25 ans, des programmes d’Assurances à destination des particuliers, des travailleurs non-salariés et des entreprises.","Bac +5 et plus Minimum - Master","De 1 à 3 ans","138, bd d'Anfa, 4°étage ___ Casablanca","CDI","","https://www.rekrute.com/offre-emploi-ingenieur-reseaux-et-telecoms-junior---casablanca-recrutement-eca-assurances-casablanca-166900.html"
"Candidature Spontanée : Bloc Opératoire - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +2 Minimum","De 3 à 5 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150 Benguerir","CDI","","https://www.rekrute.com/offre-emploi-candidature-spontanee-bloc-operatoire-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-166740.html"
"Concepteur Rédacteur - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +5 et plus Minimum","De 3 à 5 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150 Benguerir","CDI","","https://www.rekrute.com/offre-emploi-concepteur-redacteur-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-166838.html"
"Infirmier Polyvalent - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +2 Minimum","De 5 à 10 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150 Benguerir","CDI","","https://www.rekrute.com/offre-emploi-infirmier-polyvalent-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-166804.html"
"Medical doctors/researchers and Hospital pharmacist - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +5 et plus Minimum","De 3 à 5 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150 Benguerir","CDI","","https://www.rekrute.com/offre-emploi-medical-doctorsresearchers-and-hospital-pharmacist-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-166803.html"
"Responsable Approvisionnement - Casablanca","Une grande Entreprise à Casablanca recrute un Responsable Approvisionnement.","Bac +5 et plus Minimum - Ecole de commerce","De 3 à 5 ans","not found","CDI","","https://www.rekrute.com/offre-emploi-responsable-approvisionnement-recrutement-confidentiel-casablanca-166899.html"
"Project Manager - Rabat","Rejoignez Cnexia et faites le choix de faire partie d’un projet qui valorise l’innovation, promeut le développement continu des compétences et donne l’opportunité aux personnes créatives et ambitieuses du domaine des hautes technologies de réaliser leurs objectifs professionnels.","Bac +5 et plus Minimum - Master","De 3 à 5 ans","Technopolis 11100 Rabat","CDI","","https://www.rekrute.com/offre-emploi-project-manager-recrutement-cnexia-rabat-165497.html"
"Coordinateur SIRH (H/F) - Rabat","Rejoignez Cnexia et faites le choix de faire partie d’un projet qui valorise l’innovation, promeut le développement continu des compétences et donne l’opportunité aux personnes créatives et ambitieuses du domaine des hautes technologies de réaliser leurs objectifs professionnels.","Bac +5 et plus Minimum - Master","De 3 à 5 ans","Technopolis 11100 Rabat","CDI","","https://www.rekrute.com/offre-emploi-coordinateur-sirh-hf-recrutement-cnexia-rabat-166591.html"
"Spécialiste SIRH (H/F) - Rabat","Filiale d’un acteur principal en Télécommunications, cnexia apporte un soin particulier à la satisfaction de ses collaborateurs. Ainsi, chez cnexia, nous travaillons au quotidien pour satisfaire nos clients.","Bac +5 et plus Minimum - Formation spécialisée","De 3 à 5 ans","Unité B1, Parc Fès Shore, Route de Sidi Harazem (9 108,11 km)","CDI","","https://www.rekrute.com/offre-emploi-specialiste-sirh-hf-recrutement-cnexia-rabat-166590.html"
"HR Generalist - Fès","Rejoignez Cnexia et faites le choix de faire partie d’un projet qui valorise l’innovation, promeut le développement continu des compétences et donne l’opportunité aux personnes créatives et ambitieuses du domaine des hautes technologies de réaliser leurs objectifs professionnels.","Bac +4 Minimum - Université","De 3 à 5 ans","Unité B1, Parc Fès Shore, Route de Sidi Harazem (9 108,11 km)","CDI","","https://www.rekrute.com/offre-emploi-hr-generalist-recrutement-cnexia-fes-165776.html"
"Sales Development Representative (SDR) - Casablanca","Une société spécialisée en conseil immobilier d’entreprise en une solution agile, moderne et alignée sur les nouveaux usages de travail. Notre mission ? Accompagner les entreprises dans leur croissance grâce à des solutions flexibles et durables qui répondent aux enjeux actuels. Nous cherchons un(e) téléconseiller(ère) dynamique et motivé(e) pour rejoindre notre équipe commerciale et soutenir notre expansion en identifiant de nouvelles opportunités de marché. Prêt(e) à relever le défi ?","Bac +3 Minimum - BTS / DUT - Formation professionnelle","De 5 à 10 ans - De 10 à 20 ans","not found","CDI","","https://www.rekrute.com/offre-emploi-sales-development-representative-sdr-recrutement-confidentiel-casablanca-166295.html"
"Data Architect (H/F) - Casablanca","Vous êtes en quête de nouveaux challenges et vous souhaitez donner un nouvel élan à votre carrière ? Vous cherchez à rejoindre une entreprise à taille humaine qui place l’agilité, l’audace et l'esprit d'équipe au cœur de ses préoccupations et dans laquelle vous pouvez vous épanouir ? Ne perdez plus de temps, postulez et rejoignez Sofrecom !","Bac +5 et plus Minimum - Ecole d'ingénieur","De 5 à 10 ans","Batiment B0, 2 éme Etage, Technopolis, 11100, Sale Al Jadida, Rabat-Salé-Zemmour-Zaër, Maroc 11 100 Rabat","CDI","","https://www.rekrute.com/offre-emploi-data-architect-hf-recrutement-sofrecom-maroc-casablanca-166898.html"
"Technicien Service Desk FR/EN (H/F) - Sala Al Jadida","Econocom est un groupe européen de services, spécialisé depuis plus de 25 ans dans la gestion des ressources informatiques et de télécommunications des entreprises. Les prestations d’Econocom comprennent les services d’exploitation (infogérance, maintenance et conseil), l’approvisionnement en produits et solutions IT, les services télécoms, le financement et la gestion d’actifs. Le centre de Rabat (Maroc), centre opérationnel du Remote Services Center européen de l’activité de Services d’Econocom, a pour mission d’assurer un support clients efficace auprès des comptes existants et de contribuer à la conquête de nouveaux clients.","Bac +2 Minimum - BTS / DUT","De 1 à 3 ans","Technopolis 10000 Salé","CDI","","https://www.rekrute.com/offre-emploi-technicien-service-desk-fren-hf-recrutement-econocom-maroc-sala-al-jadida-166897.html"
"Conseillers Commerciaux en réception d’appels (primes déplafonnées, challenges...) - Casablanca","Sitel Group devient officiellement Foundever™.","Bac Minimum - Baccalauréat","De 1 à 3 ans","1100 Bd El Qods, Sidi Maârouf), Casanearshore Park 20100 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-conseillers-commerciaux-en-reception-dappels-primes-deplafonnees-challenges...-recrutement-foundever-ex-sitel-group-casablanca-165812.html"
"Médecin géneraliste - Rabat","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +5 et plus Minimum","De 3 à 5 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150","CDI","","https://www.rekrute.com/offre-emploi-medecin-generaliste-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-166894.html"
"Chargé des Admissions - Campus de Benguerir - Benguerir","Mohammed VI Polytechnic University is an institution dedicated to research and innovation in Africa and aims to position itself among world-renowned universities in its fields The University is engaged in economic and human development and puts research and innovation at the forefront of African development. A mechanism that enables it to consolidate Morocco’s frontline position in these fields, in a unique partnership-based approach and boosting skills training relevant for the future of Africa. Located in the municipality of Benguerir, in the very heart of the Green City, Mohammed VI Polytechnic University aspires to leave its mark nationally, continentally, and globally.","Bac +5 et plus Minimum","De 3 à 5 ans","Lot 660, Hay Moulay Rachid, Ben Guerir 43150","CDI","","https://www.rekrute.com/offre-emploi-charge-des-admissions---campus-de-benguerir-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-166893.html"
"Chargé Administratif - CPO - Casablanca","Pourquoi nous rejoindre ?","Bac +3 Minimum - Ecole de commerce","De 1 à 3 ans","Nearshore Park - 110 Bd Al Qods - Bat Shore 26, 6ème étage - Casablanca Sidi Maarouf (Maroc) Casablanca","Autre","","https://www.rekrute.com/offre-emploi-charge-administratif---cpo-recrutement-pwc-casablanca-166892.html"
"Chef de Projet AMOA - Casablanca","Bank Al Yousr est une banque participative universelle, née d'un partenariat stratégique entre la Banque Centrale Populaire et le groupe saoudien Guidance.Elle se positionne comme un acteur moderne offrant une panoplie de produits ,un service de qualité à travers des collaborateurs dotés de compétences et d’expertise métiers spécifiques solides.","Bac +5 et plus Minimum - Master","De 3 à 5 ans","162, angle Boulevard Anfa et rue Molière","CDI","","https://www.rekrute.com/offre-emploi-chef-de-projet-amoa-recrutement-bank-al-yousr-casablanca-164784.html"
"Chef de Produit - Product Owner en Marketing Digital - Casablanca","Bank Al Yousr est une banque participative universelle, née d'un partenariat stratégique entre la Banque Centrale Populaire et le groupe saoudien Guidance.Elle se positionne comme un acteur moderne offrant une panoplie de produits ,un service de qualité à travers des collaborateurs dotés de compétences et d’expertise métiers spécifiques solides.","Bac +5 et plus Minimum - Master","De 3 à 5 ans","162, angle Boulevard Anfa et rue Molière 20050 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-chef-de-produit---product-owner-en-marketing-digital-recrutement-bank-al-yousr-casablanca-166217.html"
"Contrôleur de Gestion - Casablanca","Bank Al Yousr est une banque participative universelle, née d'un partenariat stratégique entre la Banque Centrale Populaire et le groupe saoudien Guidance.Elle se positionne comme un acteur moderne offrant une panoplie de produits ,un service de qualité à travers des collaborateurs dotés de compétences et d’expertise métiers spécifiques solides.","Bac +5 et plus Minimum - Master","De 1 à 3 ans - De 3 à 5 ans","162, angle Boulevard Anfa et rue Molière 20050 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-controleur-de-gestion-recrutement-bank-al-yousr-casablanca-166515.html"
"Responsable Laboratoire Contrôle (H/F) - Dar Bouazza","COLORADO","Bac+3 - Bac+4 - Bac+5 et plus","Expérience entre 2 ans et 5 ans","Casablanca-Mohammedia","CDI","[Chimie, pétrochimie, matières premières, mines]","https://www.emploi.ma/offre-emploi-maroc/responsable-laboratoire-controle-hf-dar-bouazza-8627429"
