Job Title,Company,Study Level,Experience Level,Location,Contract Type,Job Details,URL
"TOW Leader ( H/F) - Casablanca","Capgemini Engineering est la marque du groupe Capgemini réunissant les services d'ingénierie et de R&D d’Altran, leader mondial du secteur dont Capgemini a finalisé l’acquisition en 2020, et l’expertise de Capgemini dans le domaine du digital manufacturing. Grâce à une connaissance sectorielle approfondie et à la maîtrise des technologies digitales et logicielles de pointe, Capgemini Engineering accompagne la convergence des mondes physique et numérique. Conjuguée avec l’ensemble des capacités du Groupe, elle aide les entreprises à accélérer leur transformation vers l'Intelligent Industry. Capgemini Engineering compte plus de 52 000 ingénieurs et scientifiques dans plus de 30 pays, dans des secteurs tels que l'aéronautique, l'automobile, le ferroviaire, les communications, l'énergie, les sciences de la vie, les semi-conducteurs, les logiciels et l'Internet, le spatial et la défense, et les biens de consommation.","Bac +5 et plus - Master - Ecole d'ingénieur","De 3 à 5 ans","shore 17, Casanearshore Boulevard El Qods 20000 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-tow-leader-hf-recrutement-capgemini-engineering-casablanca-166953.html"
"Jardinier - Tanger","Présent depuis 1997 au Maroc, Manpower Group est un acteur international incontournable de l’emploi et de l’insertion sociale dans le monde. Au sein du Royaume Chérifien, nous couvrons l’ensemble du territoire, de Tanger à Laayoune.","Bac Minimum","De 1 à 3 ans","Tour Végétale JASMIN | 1, rue des Plateformes - Lot N°123 20036 Casablanca","Intérim","","https://www.rekrute.com/offre-emploi-jardinier-recrutement-manpower-agences-tanger-166952.html"
"Digital & Data Analyst ( H/F) - Casablanca","Capgemini Engineering est la marque du groupe Capgemini réunissant les services d'ingénierie et de R&D d’Altran, leader mondial du secteur dont Capgemini a finalisé l’acquisition en 2020, et l’expertise de Capgemini dans le domaine du digital manufacturing. Grâce à une connaissance sectorielle approfondie et à la maîtrise des technologies digitales et logicielles de pointe, Capgemini Engineering accompagne la convergence des mondes physique et numérique. Conjuguée avec l’ensemble des capacités du Groupe, elle aide les entreprises à accélérer leur transformation vers l'Intelligent Industry. Capgemini Engineering compte plus de 52 000 ingénieurs et scientifiques dans plus de 30 pays, dans des secteurs tels que l'aéronautique, l'automobile, le ferroviaire, les communications, l'énergie, les sciences de la vie, les semi-conducteurs, les logiciels et l'Internet, le spatial et la défense, et les biens de consommation.","Bac +5 et plus - Master - Ecole d'ingénieur","De 3 à 5 ans","shore 17, Casanearshore Boulevard El Qods 20000 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-digital-data-analyst-hf-recrutement-capgemini-engineering-casablanca-166951.html"
"","","","","","","",""
"Assistant Commercial (H/F) - Casablanca","C’est en 1902 que le Dr Willis H. Carrier invente et fabrique le tout premier climatiseur moderne au monde. Depuis cette date, Carrier Corporation est le numéro un mondial de la climatisation, avec plus de 4 millions d’unités vendues par an, assemblées dans plus de 40 usines de production, installées et entretenues sur cinq continents.","Bac +2 Minimum","De 1 à 3 ans","Immeuble LA COMANAV, 7 Boulevard la résistance 20300 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-assistant-commercial-hf-recrutement-maroc-climate-and-security-mcs---carrier-casablanca-166301.html"
"Sales Associate - Casablanca","C’est en 1902 que le Dr Willis H. Carrier invente et fabrique le tout premier climatiseur moderne au monde. Depuis cette date, Carrier Corporation est le numéro un mondial de la climatisation, avec plus de 4 millions d’unités vendues par an, assemblées dans plus de 40 usines de production, installées et entretenues sur cinq continents.","Bac +3 Minimum","De 1 à 3 ans","Immeuble LA COMANAV, 7 Boulevard la résistance 20300 Casablanca","CDD","","https://www.rekrute.com/offre-emploi-sales-associate-recrutement-maroc-climate-and-security-mcs---carrier-casablanca-166266.html"
"Technical Sales Consulting in Air Conditioning (H/F) - Casablanca","C’est en 1902 que le Dr Willis H. Carrier invente et fabrique le tout premier climatiseur moderne au monde. Depuis cette date, Carrier Corporation est le numéro un mondial de la climatisation, avec plus de 4 millions d’unités vendues par an, assemblées dans plus de 40 usines de production, installées et entretenues sur cinq continents.","Bac +3 Minimum - Master","Moins de 1 an","Immeuble LA COMANAV, 7 Boulevard la résistance 20300 Casablanca","CDD","","https://www.rekrute.com/offre-emploi-technical-sales-consulting-in-air-conditioning-hf-recrutement-maroc-climate-and-security-mcs---carrier-casablanca-165732.html"
"Administration des Ventes - ADV (H/F) - Casablanca","Le Groupe Solutions30 est le partenaire privilégié des entreprises pour la mise en œuvre des nouvelles technologies numériques en Europe et pour l’assistance aux utilisateurs. Leader européen du marché, le Groupe réalise plus de 80 000 interventions par jour grâce à ses 15 000 techniciens et experts, qui accompagnent nos clients pour faire l’expérience d’un monde numérique et connecté.","Bac +3 Minimum","De 3 à 5 ans","27 Boulevard Mohamed Zerktouni Casablanca Résidence Montassir, Troisième étage 20000 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-administration-des-ventes---adv-hf-recrutement-sol30-casablanca-166948.html"
"CONTRÔLEUR DE GESTION SOCIALE (H/F) - CASABLANCA","Le Groupe Solutions30 est le partenaire privilégié des entreprises pour la mise en œuvre des nouvelles technologies numériques en Europe et pour l’assistance aux utilisateurs. Leader européen du marché, le Groupe réalise plus de 80 000 interventions par jour grâce à ses 15 000 techniciens et experts, qui accompagnent nos clients pour faire l’expérience d’un monde numérique et connecté.","Bac +5 et plus Minimum - Master","De 3 à 5 ans","27 Boulevard Mohamed Zerktouni Casablanca Résidence Montassir, Troisième étage 20000 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-controleur-de-gestion-sociale-hf-recrutement-sol30-casablanca-166947.html"
"Operations Manager (Expérience en Call Center) - Tanger","Sitel Group devient officiellement Foundever™.","Bac +3 Minimum - Autre","De 1 à 3 ans","1100 Bd El Qods, Sidi Maârouf), Casanearshore Park 20100 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-operations-manager-experience-en-call-center-recrutement-foundever-ex-sitel-group-tanger-166945.html"
