Job Title,Company,Study Level,Experience Level,Location,Contract Type,Job Details,URL,Is CDI,Is CDD,Encoded Study Level,Encoded Experience Level
Technicien résident Barrages - Province de Guelmim,Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +2 Minimum - BTS / DUT,De 3 à 5 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDD,"[""Travaux"", ""Chantiers"", ""BTP"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-technicien-resident-barrages-recrutement-novec-province-de-guelmim-165826.html,0,1,1,4.0
"Technicien(ne) Métreur Bâtiment - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +2 Minimum - BTS / DUT,Moins de 1 an - De 1 à 3 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Gestion"" ""projet"", ""Etudes"", R&""D"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-technicienne-metreur-batiment-recrutement-novec-sale-technopolis-166464.html,1,0,1,2.0
Technicien d'études Electricité CFO / CFA - Salé (Technopolis),Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +2 Minimum - BTS / DUT,De 1 à 3 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Travaux"", ""Chantiers"", ""BTP"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-technicien-detudes-electricite-cfo-cfa-recrutement-novec-sale-technopolis-166531.html,1,0,1,2.0
"Assistante du Département Ouvrages d'art - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +3 Minimum - BTS / DUT - Université,De 1 à 3 ans - De 3 à 5 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Assistanat"" ""de"" ""Direction"", ""Services"" ""Généraux"", ""Conseil"", ""Etudes""]",https://www.rekrute.com/offre-emploi-assistante-du-departement-ouvrages-dart-recrutement-novec-sale-technopolis-166185.html,1,0,2,2.0
Technicien(ne) de suivi - Salé (Technopolis),Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +2 Minimum - BTS / DUT,De 10 à 20 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Environnement"" (""métiers"" ""de"" l'), ""Agriculture"", ""Environnement"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-technicienne-de-suivi-recrutement-novec-sale-technopolis-165634.html,1,0,1,15.0
"Technicien Géologue - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +2 Minimum - BTS / DUT,Moins de 1 an,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Environnement"" (""métiers"" ""de"" l'), ""BTP"", ""Génie"" ""Civil"", ""Autres"" ""Industries""]",https://www.rekrute.com/offre-emploi-technicien-geologue-recrutement-novec-sale-technopolis-165781.html,1,0,1,0.5
Ingénieur Résident Barrage - Tout le Maroc,Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +5 et plus Minimum - Ecole d'ingénieur,Débutant - Moins de 1 an,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Travaux"", ""Chantiers"", ""BTP"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-ingenieur-resident-barrage-recrutement-novec-tout-le-maroc-165748.html,1,0,4,0.5
"Technicien(ne) en Electricité - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +2 Minimum - BTS / DUT,De 3 à 5 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Electricité"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-technicienne-en-electricite-recrutement-novec-sale-technopolis-166517.html,1,0,1,4.0
"Chef de Projet Bâtiment - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +5 et plus Minimum - Ecole d'ingénieur,De 5 à 10 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Gestion"" ""projet"", ""Etudes"", R&""D"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-chef-de-projet-batiment-recrutement-novec-sale-technopolis-166516.html,1,0,4,7.5
"Ingénieur d'études en Aménagement Urbain - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +5 et plus Minimum - Ecole d'ingénieur,Moins de 1 an,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Environnement"" (""métiers"" ""de"" l'), ""Agriculture"", ""Environnement"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-ingenieur-detudes-en-amenagement-urbain-recrutement-novec-sale-technopolis-166514.html,1,0,4,0.5
